ID_Localizacao;Distrito;Zona;Endereço;CEP
1;Caieiras;Norte;R. Guadalajara;07700-000
2;Cajamar;Norte;Av. Ribeirão dos Cristais;07750-000
3;Francisco Morato;Norte;R. Adão Manoel da Silva;07992-000
4;Franco da Rocha;Norte;R. Fazenda Belém;07809-080
5;Mairiporã;Norte;R. Eng. Aristides Romaro;07600-000
6;Arujá;Leste;R. São Miguel;07411-175
7;Biritiba Mirim;Leste;R. Machado de Assis;08940-000
8;Ferraz de Vasconcelos;Leste;R. Santos Dumont;08544-600
9;Guararema;Leste;R. Dona Laurinda;08900-000
10;Guarulhos;Leste;R. Me. de Deus de Minas;07140-480
11;Itaquaquecetuba;Leste;R. Visc. de Taunay;08598-400
12;Mogi das Cruzes;Leste;R. Mal. Deodoro;08715-060
13;Poá;Leste;R. Vitória;08571-850
14;Salesópolis;Leste;R. João Alfredo de Miranda;08970-000
15;Santa Isabel;Leste;R. Geraldo de Souza Braga;07500-000
16;Suzano;Leste;R. Prof. Roberto David;08676-170
17;Diadema;Sudeste;Av. Dona Ruyce Ferraz Alvim;09951-002
18;Mauá;Sudeste;R. Buenos Aíres;09350-560
19;Ribeirão Pires;Sudeste;Planalto Bela Vista;09402-680
20;Rio Grande da Serra;Sudeste;Rua Antônio Carnevale;09450-000
21;Santo André;Sudeste;R. Barbacena;09181-190
22;São Bernardo do Campo;Sudeste;R. Joaquim Nabuco;09720-375
23;São Caetano do Sul;Sudeste;R. Niterói;09510-200
24;Cotia;Sudoeste;Av. Dr. Odair Pacheco Pedroso;06717-365
25;Embu;Sudoeste;Av. Ecologista de João de Oliveira Ramos de Sá;06845-210
26;Embu Guaçu;Sudoeste;R. João Pereira Rodrigues Filho;06900-000
27;Itapecerica da Serra;Sudoeste;R. Cedro de São João;06851-030
28;Juquitiba;Sudoeste;Da Jacubá;06950-000
29;São Lourenço da Serra;Sudoeste;R. Pedro Joaquim Soares;06890-000
30;Taboão da Serra;Sudoeste;R. Andradina;06784-130
31;Vargem Grande Paulista;Sudoeste;Vila Sao Judas Tadeu;06730-000
32;Barueri;Oeste;R. Mar Vermelho;06412-140
33;Carapicuíba;Oeste;R. Salomão;06380-160
34;Itapevi;Oeste;R. Alzira Rocha da Silva;06663-460
35;Jandira;Oeste;R. Jandira;06604-300
36;Osasco;Oeste;R. Lírio;06112-110
37;Pirapora do Bom Jesus;Oeste;R. Santa Cruz;06550-000
38;Santana de Parnaíba;Oeste;R. Andorinha;06502-180
