ID_Produto;Nome;ID_Localizacao;Valor Imovel;Custo
1;Residencial Primavera;5;800000;640000
2;Condomínio Horizonte Azul;11;380000;266000
3;Edifício Harmonia;16;450000;270000
4;Villa dos Bosques;20;480000;408000
5;Residencial Florescer;30;600000;540000
6;Condomínio Parque das Colinas;19;700000;490000
7;Torres do Riacho;4;600000;450000
8;Solar do Lago;3;260000;189800
9;Condomínio Vila Serena;34;475000;422750
10;Residencial Montanhas Azuis;33;420000;357000
11;Praia Dourada Residences;8;300000;219000
12;Jardins da Cidade;28;325000;211250
13;Condomínio Recanto Verde;14;385000;223300
14;Vista Panorâmica Towers;32;425000;293250
15;EcoVille Residence;21;760000;608000
16;Lagoa Serena Apartments;9;700000;595000
17;Residencial Céu Azul;25;280000;210000
18;Condomínio Vila dos Pássaros;2;365000;237250
19;Parque das Árvores;1;322000;218960
20;Edifício Aurora Heights;7;550000;412500
21;Horizon Houses ;29;325000;253500
22;Parque dos Principes;27;310000;279000
23;Residencial Das Flores;35;500000;260000
24;Gardem III;26;800000;472000
25;Vila dos Pomares;10;650000;422500
