ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
1456;20;1;4;01/05/2022
1457;22;1;21;01/05/2022
1458;17;1;17;01/05/2022
1459;2;2;7;02/05/2022
1460;24;1;15;02/05/2022
1461;3;1;18;02/05/2022
1462;8;2;6;03/05/2022
1463;18;1;8;03/05/2022
1464;6;1;9;03/05/2022
1465;16;2;24;04/05/2022
1466;17;2;21;04/05/2022
1467;20;2;18;04/05/2022
1468;22;1;1;05/05/2022
1469;12;2;23;05/05/2022
1470;11;2;21;05/05/2022
1471;4;2;6;06/05/2022
1472;21;2;6;06/05/2022
1473;4;1;2;06/05/2022
1474;18;2;21;07/05/2022
1475;23;1;8;07/05/2022
1476;3;1;16;07/05/2022
1477;15;1;21;08/05/2022
1478;11;2;11;08/05/2022
1479;23;2;6;08/05/2022
1480;20;1;20;09/05/2022
1481;25;2;14;09/05/2022
1482;21;1;24;09/05/2022
1483;1;1;10;10/05/2022
1484;4;2;24;10/05/2022
1485;24;1;14;10/05/2022
1486;3;2;24;11/05/2022
1487;17;1;3;11/05/2022
1488;10;2;18;11/05/2022
1489;2;2;21;12/05/2022
1490;21;1;23;12/05/2022
1491;16;1;4;12/05/2022
1492;25;1;22;13/05/2022
1493;23;1;18;13/05/2022
1494;16;1;20;13/05/2022
1495;14;2;21;14/05/2022
1496;2;2;4;14/05/2022
1497;14;2;11;14/05/2022
1498;7;2;3;15/05/2022
1499;13;1;2;15/05/2022
1500;17;2;24;15/05/2022
1501;21;2;11;16/05/2022
1502;11;1;2;16/05/2022
1503;1;1;5;16/05/2022
1504;20;2;12;17/05/2022
1505;11;1;5;17/05/2022
1506;14;1;13;17/05/2022
1507;13;1;10;18/05/2022
1508;4;1;3;18/05/2022
1509;15;1;13;18/05/2022
1510;3;2;14;19/05/2022
1511;18;1;3;19/05/2022
1512;18;2;19;19/05/2022
1513;24;1;4;20/05/2022
1514;12;1;1;20/05/2022
1515;9;2;7;20/05/2022
1516;4;2;22;21/05/2022
1517;11;1;16;21/05/2022
1518;12;2;14;21/05/2022
1519;2;1;14;22/05/2022
1520;24;2;14;22/05/2022
1521;5;2;20;22/05/2022
1522;8;2;18;23/05/2022
1523;12;2;2;23/05/2022
1524;1;1;2;23/05/2022
1525;11;1;17;24/05/2022
1526;9;1;12;24/05/2022
1527;19;2;16;24/05/2022
1528;5;1;4;25/05/2022
1529;24;2;11;25/05/2022
1530;1;1;7;25/05/2022
1531;3;1;11;26/05/2022
1532;23;1;15;26/05/2022
1533;9;2;19;26/05/2022
1534;22;2;21;27/05/2022
1535;3;2;8;27/05/2022
1536;17;2;16;27/05/2022
1537;16;2;23;28/05/2022
1538;10;1;10;28/05/2022
1539;9;2;16;28/05/2022
1540;8;1;2;29/05/2022
1541;19;2;8;29/05/2022
1542;16;2;13;29/05/2022
1543;21;2;3;30/05/2022
1544;20;2;2;30/05/2022
1545;10;1;23;30/05/2022
1546;21;1;8;31/05/2022
1547;1;2;8;31/05/2022
1548;22;1;7;31/05/2022
