ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
94;24;1;3;01/02/2021
95;7;2;23;01/02/2021
96;11;1;3;01/02/2021
97;18;1;3;02/02/2021
98;11;2;24;02/02/2021
99;8;1;21;02/02/2021
100;14;1;15;03/02/2021
101;17;1;4;03/02/2021
102;4;1;4;03/02/2021
103;1;1;23;04/02/2021
104;8;1;17;04/02/2021
105;1;2;1;04/02/2021
106;6;1;10;05/02/2021
107;18;1;24;05/02/2021
108;15;2;10;05/02/2021
109;1;1;18;06/02/2021
110;22;2;12;06/02/2021
111;16;1;7;06/02/2021
112;7;1;10;07/02/2021
113;1;1;21;07/02/2021
114;4;1;13;07/02/2021
115;1;1;12;08/02/2021
116;24;2;5;08/02/2021
117;16;1;15;08/02/2021
118;20;2;6;09/02/2021
119;1;1;3;09/02/2021
120;23;1;11;09/02/2021
121;19;1;10;10/02/2021
122;25;1;12;10/02/2021
123;6;2;15;10/02/2021
124;20;1;21;11/02/2021
125;11;1;18;11/02/2021
126;25;1;15;11/02/2021
127;24;1;17;12/02/2021
128;25;1;22;12/02/2021
129;11;1;9;12/02/2021
130;10;2;5;13/02/2021
131;20;1;16;13/02/2021
132;24;1;18;13/02/2021
133;7;1;9;14/02/2021
134;19;1;20;14/02/2021
135;25;2;9;14/02/2021
136;9;1;20;15/02/2021
137;20;1;20;15/02/2021
138;20;1;3;15/02/2021
139;24;1;6;16/02/2021
140;2;1;18;16/02/2021
141;16;1;16;16/02/2021
142;19;1;24;17/02/2021
143;6;1;15;17/02/2021
144;18;1;8;17/02/2021
145;15;1;5;18/02/2021
146;21;1;21;18/02/2021
147;22;1;12;18/02/2021
148;19;1;15;19/02/2021
149;12;1;16;19/02/2021
150;1;1;10;19/02/2021
151;12;1;10;20/02/2021
152;18;1;6;20/02/2021
153;4;1;3;20/02/2021
154;16;1;7;21/02/2021
155;25;1;16;21/02/2021
156;6;1;16;21/02/2021
157;23;1;18;22/02/2021
158;4;1;19;22/02/2021
159;13;1;24;22/02/2021
160;10;1;12;23/02/2021
161;8;1;19;23/02/2021
162;12;1;19;23/02/2021
163;24;1;9;24/02/2021
164;14;1;23;24/02/2021
165;20;1;2;24/02/2021
166;7;1;3;25/02/2021
167;1;1;16;25/02/2021
168;9;1;14;25/02/2021
169;3;1;21;26/02/2021
170;11;1;20;26/02/2021
171;10;1;19;26/02/2021
172;19;1;9;27/02/2021
173;15;1;2;27/02/2021
174;3;1;15;27/02/2021
175;4;1;18;28/02/2021
176;24;1;17;28/02/2021
177;24;1;21;28/02/2021
